uid;designation;ingredients
9fa94fea-6315-4439-b976-0730d37522c9;Chapelure Batter Mix en sac de 4,2 kg GRIFFITH FOODS;
6566e18d-3bdd-43d8-ab0c-de51894621f9;SPÉCIALITÉ POMME-FRAISE ALLÉGÉE EN SUCRES EN BOÎTE 5/1 VALADE;Pommes 89%, purée de fraises à base de concentré 6% , sirop de glucose-fructose, arôme naturel, jus concentré de carotte pourpre, antioxydant : acide ascorbique, acidifiant : acide citrique (si le fruit n'en contient pas suffisamment).
b988521e-1191-472f-ad90-5afc8c2a57b8;MOUTARDE DE DIJON SEAU 5KG - EDMOND FALLOT;Eau, graines de moutarde, vinaigre, sel, antioxydant : disulfite de potassium, acidifiant : acide citrique, épice.
846db626-d8a9-49b2-be8d-7d724adeaff3;Assortiment Mix Turbine 3 saveurs en colis MONBANA;"Croustilles de céréales enrobées de chocolat au lait et de chocolat blanc arôme café
chocolat blanc arôme café 48% (sucre, beurre de cacao, poudre de lait entier, arômes), chocolat au lait 38% (sucre, beurre de cacao, poudre de lait entier, pâte de cacao, émulsifiant : lécithines (soja), arôme naturel de vanille), céréales croustillantes 12% (farine de blé, gluten de blé, sucre, farine de malt de blé, poudre à lever : E500(ii), sel, correcteur d'acidité : E170), sucre glace. 
Chocolat au lait et blanc: cacao 33% min. Traces éventuelles de : oeufs, fruits à coque.
Croustilles de céréales enrobées de chocolat au lait et de pâte de spéculoos
chocolat au lait 68% (sucre, beurre de cacao, poudre de lait entier, pâte de cacao, émulsifiant : lécithines (soja), arôme naturel de vanille), pâte de spéculoos 16% [Spéculoos 60% (farine de blé, sucre, huiles et graisses végétales (palme, colza), sirop de candi, poudres à lever : E500(ii) - carbonate acide d'ammonium, sel, cannelle), huiles et graisses végétales partiellement hydrogénées (tournesol, colza, palme), sucre, émulsifiants : lécithines - E472c, correcteur d'acidité : E330], céréales croustillantes 12% (farine de blé, gluten de blé, sucre, farine de malt de blé, poudre à lever : E500(ii), sel, correcteur d'acidité : E170), beurre de cacao, sucre glace, cannelle moulue.
Chocolat au lait : 33% de cacao min. Traces éventuelles de : oeufs, fruits à coque.
Croustilles de céréales enrobées de praliné et de chocolat au lait avec praliné grain
chocolat au lait 65% (sucre, beurre de cacao, poudre de lait entier, pâte de cacao, émulsifiant : lécithines (soja), arôme naturel de vanille), praliné 12% (noisettes 50%, sucre, émulsifiant : lécithines (soja), arôme naturel de vanille), céréales croustillantes 12% (farine de blé, gluten de blé, sucre, farine de malt de blé, poudre à lever : E500(ii), sel, correcteur d'acidité : E170), praliné grain 8% (sucre, amandes et noisettes torréfiées), beurre de cacao, agents d'enrobage : E414-E904.
Chocolat au lait : cacao 33% min. Traces éventuelles de : oeufs, autres fruits à coque."
a57c1561-b88e-4694-8bd8-55623f2afa17;Lentilles blondes en sac 5 kg VIVIEN PAILLE;Lentilles blondes
fef394f8-b67d-4c8c-a9c4-6770cabcf4c5;CÉLÉBRATIONS EN ÉTUI 69 G;Sucre, sirop de glucose, beurre de cacao, lait écrémé en poudre, pâte de cacao, matière grasse du lait, lactose, farine de blé, matière grasse de palme, cacahuètes, noix de coco séchée, petit-lait en poudre, huile de palme, lait entier en poudre, huile de tournesol, émulsifiants (lécithine de soja, E471), extrait de malt d'orge, cacao maigre, sel, humectant (glycérol), blanc d'oeuf en poudre, extrait naturel de vanille, poudres à lever (E341, E500, E501), protéine de lait, gluten de blé. (Peut contenir: noisette, amande, avoine).Cacao 25% minimum
ebfc9e73-5d91-4b45-8331-8c8f9bed3bb3;Jus d'orange en bouteille brique 1 L BOPI;Jus d'orange à base de concentré
c6fd7472-f363-4aaf-8702-bd56e2e139de;Farine de pois chiche en sachet 1 kg HEUSCHEN AND SCHROUFF;Farine de pois chiche
c91c8d53-4260-4d9c-851e-7756672a8941;HARICOTS BLANCS BIO 2.5KG VIVIEN PAILLE;Haricots blancs issus de l'Agricutlure Biologique
5adc7512-6168-4966-ae3f-f6ec133bf56e;GNOCCHI SARDI ANTONIO AMATO SAC DE 3KG;semoule de blé dur supérieure et de l'eau
2286f782-9d2e-410f-84c4-4ab88003a002;Cocktail de fruits au sirop léger en boîte 5/1 ST MAMET;"Pêches et poires en cubes (avec leur jus d'origine naturelle 6,25%*), segments d'ananas, raisins, eau, sirop de glucose-fructose, sucre, arôme naturel, acidifiant : acide citrique.
*Sur une base de 100% de pêches et poires."
85bafa77-8b34-4bf4-9db9-eb0a0a56949a;Pulpe d'ail en pot 1 kg SOKODAIL;Ail réhydraté (91%) - Origine : Chine. Sel, Acide citrique E330. Disulfite de sodium E223
e316e498-3b28-415f-990f-a8840feaad70;Céleri garniture en boîte 5/1 ARAMAYO;"Garniture de celeri, eau, sel
GARNITURE DE CELERI RO-4250: origine Espagne.Garniture de celeri: 58,95%, eau: 39,45%, sel: 0,6%"
6267b9f8-2529-4bc6-ba4b-26760f0522b3;Coca-Cola light en canette 15 cl COCA COLA;"eau gazéifiée
colorant : E150d
acidifiants : acide phosphorique, acide citrique
édulcorants : aspartame, acésulfameK
arômes naturels dont caféine
contient une source de phénylalanine"
eeca38ed-ff9b-467f-874d-298a350bd6c5;Galletti en paquet 500 g DE CECCO;SEMOULE DE BLE' DUR de qualité supérieure
209431f8-9436-49cb-a6fe-16225deb5c3f;Lait écrémé en poudre en sachet 500 g MATINES;"Poudre de lait écrémé, anti-agglomérant : E551 [nano]
Lait origine France"
5cb7f05a-3b2c-440e-af0d-01843fb38cbf;Assortiment de Malabar magic blue 3 parfums en boîte de 300 MALABAR;Sucre, Gomme base, Sirop de glucose, Acidifiant (E330), Humectants (E422, E1518), Arômes, Emulsifiant (Lécithine de tournesol), Colorants (E150a, E133, E120), Antioxydant (E321).
9ef0d351-4982-4a2d-88a9-85573dc396dc;CONFITURE DE FRAMBOISES 4/4 VALADE EN CORRÈZE;Sirop de glucose-fructose, framboises 35%, sucre, gélifiant : pectines, acidifiant : acide citrique.
f53308dc-276b-43aa-bde4-65c76e1f8b1f;Câpres surfines au vinaigre en boîte 4/4 MARTIN'S;Câpres, eau, vinaigre, sel
e91a52bd-030b-4e13-88c7-93bfed313451;Sel fin en sac 10 kg SALINE D'EINVILLE;sel, antiagglomérant E536 ou E535
fdb4c751-1f88-430d-9a84-80cdb1047082;Compote pomme-abricot allégée en coupelle 100 g LE BERGER DES FRUITS;Pommes 70%, abricots 25%, sucre, antioxydant: acide ascorbique.
eb42ef77-7050-4f9a-8f10-7c9df5c15b21;RIZ ETUVE BIO IGP DE CAMARGUE 5KG;Riz long étuvé de qualité supérieure issu de l'Agriculture Biologique
154e654a-d694-43a5-93a9-92cb595c9cbf;Huile Isio 4 Pro en bidon 5 L LESIEUR PROFESSIONNEL;"Huile de Colza raffinée (60%) + Huile de Tournesol haut oléique décirée raffinée + Huile de Tournesol décirée raffinée + Huile de Pépin de Raisin raffinée
Huile essentielle de coriandre (8ppm) + vitamine D (25 ?g/100g)"
0a416ebe-f4d1-4d80-a9f9-4b77cbddf35a;Sauce barbecue en bidon 2,25 L KNORR;"tomate (65%), sucre, purée de tomates concentrée (8%), vinaigre de cidre, mélasse, amidon modifié de maïs, sel, arômes (dont arôme de fumée), épices et aromates (ail, oignon, cumin, poivre noir), extrait de malt d'ORGE, régulateur d'acidité (acide citrique), épaississant (gomme xanthane).
Peut contenir des traces: fruits à coque."
78665d97-164a-4c23-956b-3e41f5f7e423;Potage indien tandoori en boîte 1,25 kg KNORR;Maltodextrine, amidon modifié de pomme de terre, lentilles (10%), roux (10%) (farine de FROMENT, graisse de palme), LAIT fermenté traité thermiquement, sel iodé, sucre, tomate (4%), oignon (4%), LACTOSE, sel, amidon de pomme de terre, extrait de levure, paprika (2,2%), purée de tomates (2%), protéines de LAIT, ail, arômes, gingembre, farine de riz, cumin, jus d'oignon concentré, fructose, sauce soja (fève de SOJA, FROMENT), cannelle, jus de betteraves, huile de tournesol, jus de citron, persil tubéreux, dextrose. Peut contenir: oeuf, céleri, moutarde.
8e8bbc12-7e4b-4fff-a111-f7c84e35129a;Abricot oreillon au sirop léger en boîte 4/4 VALTONIA;
2701301a-da58-4d8a-a4f8-9c4e60144c0f;Eau de source naturelle en bouteille 1,5 L SOURCE DES PINS;
6e2f5d57-7477-4eb3-8838-5d1e572e7d0b;Monster en canette 50 cl MONSTER ENERGY;"EAU GAZÉIFIÉE, SUCRE, SIROP DE GLUCOSE, ACIDIFIANT (ACIDE CITRIQUE), ARÔMES, TAURINE (0,4%), CORRECTEUR D'ACIDITÉ (CITRATE DE SODIUM), EXTRAIT DE RACINE DE GINSENG (0,08%), L-TARTRATE DE L-CARNITINE (0,04%), CONSERVATEURS (ACIDE SORBIQUE, ACIDE BENZOÏQUE), CAFÉINE (0,02%), COLORANT (E163), VITAMINES (B2, B3, B6, B12), ÉDULCORANT (SUCRALOSE), CHLORURE DE SODIUM, D-GLUCURONOLACTONE, EXTRAIT DE GRAINE DE GUARANA (0,002%), INOSITOL.
TENEUR ÉLEVÉE EN CAFÉINE, DÉCONSEILLÉ AUX ENFANTS ET AUX FEMMES ENCEINTES OU ALLAITANTES OU AUX PERSONNES SENSIBLES À LA CAFÉINE (21mg/100ml). CONSOMMER AVEC MODÉRATION."
f5e42f45-5cc8-4248-b61a-4710e80cd79a;KETCHUP FUMÉ TOMATE POIVRON ROUGE 860G;Tomate (46%), oignons, poivrons rouges, sucre, vinaigre d'alcool, mélasse, vinaigre balsamique, sel, épices.
4555d13a-c142-4a1e-af85-ccfd3217c268;Chair blanche de crabe en boîte 1/2 NAUTILUS;Chair de crabe (crustacés), eau, sucre, sel, exhausteurs de goût : E640, E631 , E627, acidifiant : E330, antioxydants : E223 (disulfite de sodium), E385.
52d3f309-e402-4931-974c-b6b6fa721aff;Tagliatelle aux œufs en colis 5 kg PANZANI;"Les Classiques :
- Semoule de blé dur de qualité supérieure, oeufs frais (13,9% soit 140g/kg de semoule)
- Contient du gluten
Les Spécialités :
- Semoule de blé dur de qualité supérieure, oeufs frais (19,4%)
- Contient du gluten"
32da5b20-5835-46c7-93f0-d97ea4e3c0ed;Linguine en paquet 3 kg DE CECCO;SEMOULE DE BLE' DUR de qualité supérieure
1868226c-812c-438d-bba4-6b046537d0cd;Barre Nutella B-Ready en boîte de 15 NUTELLA;"pâte à tartiner aux noisettes et au cacao 81,5 % (sucre, huile de palme, noisettes 13%, lait écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants : lécithines [soja] ; vanilline), farine de froment 16%, levure de bière, extrait de malt d'orge, sel, lait écrémé en poudre, émulsifiants : lécithines [soja] ; protéines de froment, protéines de lait, eau.
Le chocolat utilisé est un chocolat pur beurre de cacao."
571d98ae-9647-4bd4-ad1a-a497f93987cb;Chocolat noir Tanzanie 75% de cacao en pistoles en sachet 1 kg CACAO BARRY;"pâte de cacao Tanzanie 69,5% ; sucre 21,5% ; beurre de cacao 9,0% ; vanille naturelle en poudre <1%"
8d9760ab-46bb-4c61-8b82-d57da737af79;Café moulu décaféiné en capsule 6 g SEGAFREDO;100% Café décaféiné
13980d31-9002-457d-8d49-b451f08f473c;Chewing-gum dragée menthol-cassis sans-sucress en étui 14 g AIRWAVES;"Edulcorants sorbitol, isomalt, sirop de maltitol, aspartame, mannitol, sel d'aspartame-acesulfame, acesulfame-k, sucralose; gomme base (contient de la lecithine de SOJA), aromes, epaississant gomme arabique, humectant glycerol, colorant E171, agent d'enrobage cire de carnauba, colorant E163, antioxygene BHA. Contient une source de PHENYLALANINE."
9838d55e-18bb-41fc-a096-d9b1446aa237;Bouillon de légumes hyposodé en poche 1 kg NEFF MADA;Sirop de glucose de maïs - Extraits de levures - Arômes naturels - Sucre - Légumes 8,5 % (oignon, poireau) - Huile de colza - Maltodextrines de maïs et de pomme de terre - Jus concentrés de légumes (poireau, carotte) - Plantes aromatiques - Curcuma.
fa661e96-0fbd-4556-a05e-8c214e1fea55;Moutarde classic yellow en flacon 875 ml HEINZ;Eau, graines de moutarde 16%, vinaigre, vinaigre de malt (orge),sucre, sel, miel, épices, arôme naturel, épaississant (gomme xathane), extrait de paprika.
4f62eeea-a383-42dd-aa49-cc894c6475e9;Poivre gris mignonette en sachet 1 kg IDHEA;Poivre noir
bc48d583-edf0-460e-a536-58f347ba6823;Crème de marron vanillée en boîte 5/1 ROGER DESCOURS;
51e4f419-1290-4f50-aa19-493d28a8227c;Pipe rigate en paquet 500 g DE CECCO;SEMOULE DE BLE' DUR de qualité supérieure
63f775e8-91e1-4326-b76e-40fff8288168;Chewing-gum Barril Pirate en étui 5,5 g FINI;Sucre, sirop de glucose, gomme base (lécithine de soja), arômes, acidifiant: E270, E296, humectant: E422, correcteur d'acidité: E325, agents d'enrobage: E901, E903, colorants: voir cachet.
45aafdde-9ca7-42ab-973f-70d6fa402e17;Riz long Indica étuvé en sac 10 kg EPISAVEURS;
80ebbc52-b049-471c-8ff4-f817133b7479;Ricola menthol sans-sucres en étui 50 g RICOLA;isomalt, menthol, extrait (0,2%) d'eucalyptus et du mélange des 13 plantes Ricola, édulcorants (sucralose, acésulfame-K), arôme naturel d'eucalyptus, colorant (chlorophylles)
34e779ac-7b64-4435-8733-e885cba460fc;Mélange 3 céréales Kasha en sac 2,5 kg VIVIEN PAILLE;Mélange de céréales comportant 40% de Sarrazin grillé, 30% d'orge et 30% de Millet
40b933d8-d8eb-4867-8d14-83fc999c5281;Biscuit croquant aux éclats d'amandes en étui 16 g LE TECH;Farine de BLE, sucre, éclats d'AMANDES 15%, OEUF, arôme naturel citron, vanilline, poudre à lever : E503ii-E504
f32dd41a-a27b-4312-a99c-bab3bc2fa66e;YONDU 830ML ;Essence de soja biologique (soja biologique, eau sel) 95,9% Extraits de légumes (oignons, radis blancs, poireau, chou, carotte, shiitake, gingembre, ail) 2,8% Extrait de levure 1,3%
9634f1e6-fe7d-4a39-b372-149f4f775fd0;THÉ VERT - 50 SACHETS PYRAMIDES;"Pur thé vert* (100%).
(*) Ingrédients issus de l'Agriculture Biologique"
de34ad8b-164a-41ae-adc5-7059fbd564de;Jus de rôti d'agneau hyposodé en poche 1 kg NEFF MADA;Amidon de maïs - Arômes - Sucre - Graisse et viande d'agneau 8,5 % - Oignon grillé - Tomate - Extrait de levure - Colorant : E150c - Plantes aromatiques - Epices.
7da96bc7-dcb3-45c4-96f5-ee12036d3582;Lentille au sel et poivre BIO en sachet 55 g CUISINE SOLEIL;Lentilles* 96%, huile de tournesol*, sel de mer 0,7%, poivre noir* 0,5%, acidiant : acide citrique, sucre de canne*, fécule de tapioca*. *Ingrédients issus de l'agriculture biologique.
0ea7c122-afea-429f-b61a-3f213946d558;Chewing-gum fruit en sachet de 250  FINI;Sucre, sirop de glucose, gomme base (lécithine de soja), arômes, acidifiant: E296, humectant: E422, agents d'enrobage: E901, E903, huile végétale (palme, coco), colorants: voir cachet.
cac92785-d809-419c-95dc-e76e5a8822bd;Mini-tartelette olive-romarin diam 4,2 cm HUG;farine (FROMENT, seigle, épeautre), graisse de palme non hydrogénée, amidon de FROMENT, maltodextrine, olives noires 4,5%, fibres de FROMENT, farine de SOJA, sel de cuisine, romarin, émulsifiant: lécithine de SOJA, colorant: bêta-carotène naturelle.
7e40cfcd-a91f-4f06-b2c6-15c7af648a83;Jus d'orange en bouteille 33 cl MINUTE MAID;jus d'orange avec pulpe à base de concentré
14c9672e-44d9-4995-bd5a-44bf5875031b;Chips saveur jambon Pata Negra en sachet 125 g BRET'S;"Pommes de terre (France) (65,5%), huile de tournesol (27,5%), base aromatisante Pata Negra [arôme naturel (dont viande de porc en poudre) (lait)], sel de Guérande (1%).
Fabriqué dans un atelier qui utilise : lait, céleri, moutarde."
cd773a95-ed02-4b34-bb83-ff933f3fbb39;Skittles fruits en sachet 45 g SKITTLES;"Sucre, sirop de glucose, graisse de palme, acidifiants acide citrique, acide malique; dextrine, maltodextrine, aromes, amidon modifie, colorants E162, E163, E171, E160a, E100, E132, E133, E160e; correceteur d'acidité citrate triodique, agent d'enrobage cire de carnauba."
6e976147-adeb-4d2d-925a-cb7c58c111a2;FONDS BRUN LIÉ MAGGI BOÎTE DE 750 G ;"Maltodextrine, amidon de maïs, sel, farine de blé, colorant : caramel ordinaire ; arômes (blé,céleri), huile de palme, épaississant : gomme guar ; oignon, fécule de pomme de terre, extrait de levure, jus de cuisson de viande de boeuf (0,9%), acidifiant : acide citrique ; extrait de vin blanc, extraits d'ail, de thym et de poivre. Peut contenir : lait, oeuf."
15c7bf93-fa9d-4a5a-88ff-a3ef21e90303;Huile d'olive aromatisée à la truffe blanche en flacon 100 ml PLANTIN;Huile d'olive 99,6%, Arôme truffe blanche (0,4%)
e60b0e25-7120-46a9-a311-127f9f286047;Madeleine en étui 84 g KER CADELAC;Farine de blé - Sucre - Huile de colza - OEufs entiers 16%- Stabilisants : glycérol, sirop de sorbitol - Emulsifiant : E471- Poudres à lever : E450i, E500ii- Sel- Arôme- Conservateur : sorbate de potassium -Correcteur d'acidité : acide citrique.
1ea551a9-6689-48b0-b53d-c6869dffa8b2;Sauce aux crustacés en boîte 960 g pour 6 L NEFF MADA;Farine de blé - Sirop de glucose de maïs - Matières grasses végétales : Huile de tournesol, huile de colza - Lactose et protéines de lait - Lait écrémé - Sel - Arômes (Crustacés) - Crustacés 3 % (Crevette 2 %, Crabe 1 %) - Sucre - Oignon - Extrait naturel de vin blanc - Ail - Colorant : Bêta carotène.
c6d745c7-048f-4452-8811-318023c2b471;Barre chocolat au lait lingotin 20 g CEMOI;sucre, beurre de cacao, poudre de LAIT écrémé, pâte de cacao, LACTOSERUM en poudre, matière grasse de LAIT anhydre, émulsifiant: lécithines de tournesol, arôme vanille.
f16c6e87-9a70-4966-a158-2b4c9ea3ded2;Poivre noir de Sarawak en sachet 1 kg TERRE EXOTIQUE;Poivre noir de Sarawak
ad5a76c0-b2c9-4b5c-a3a7-691f798ed72f;Sauce vinaigrette agrumes en bouteille 1 L MAILLE;huile de tournesol, vinaigre de vin blanc, eau, sucre, miel d'acacia, huile d'olive vierge extra, jus de citron concentré : 2,2%, jus de mandarine concentré : 1,5%, zeste de citron : 1,5%, épaississants : carraghénanes et gomme xanthane, arômes naturels, jalapeno.
c8b299c5-22d3-40ae-8df3-ad638507803f;Sauce béarnaise en seau 2,91 kg BENEDICTA;Huile de colza, eau, vinaigre d'alcool, jaunes d'oeufs, sucre, estragon (2,5%), échalote (2,4%), sel, cerfeuil, jus de citron à base de concentré, piment de Cayenne, arômes, amidon modifié, colorant : bêta-carotène, conservateur : sorbate de potassium.Ce produit peut contenir des traces de moutarde.
b87a40db-6ccd-4265-be64-0ac74a7def86;Sauce pour sandwich tomates séchées et basilic en poche 590 g HELLMANN'S;Légumes 46% (pois chiche, oignon, tomate, tomate séchée 4%), eau, huiles végétales (tournesol, colza), vinaigre de vin blanc, basilic 2,4%, arômes naturels, amidon modifié de maïs, sucre, sel, ail, épaississant (gomme xanthane), chlorure de potassium, extrait de malt d'ORGE, graines de MOUTARDE, vinaigre d'alcool, épices.
31db6a91-37c2-464f-96a3-776b2df46408;TRANCHE FRUITS 33G;Farine de blé, oeufs frais, huile de colza, sucre, fruits confits 9.8% [dés de pastèque confits (colorant : carmins), écorces d'orange confites, sirop de glucose-fructose, sucre, conservateurs (sorbate de potassium, anhydride sulfureux), correcteur d'acidité : acide citrique], raisins secs 8.2%, stabilisant : glycérol, amidon modifié de maïs, émulsifiant : mono- et diglycérides d'acides gras, sel, poudres à lever (diphosphates, carbonates de sodium), arôme naturel d'orange, conservateur : sorbate de potassium, épaississant : gomme xanthane. Peut contenir des traces de : lait, graines de sésame, fruits à coque, soja.
52e7afd3-1cc7-4352-a637-375634317263;Maïs doux en grains sous-vide en boîte 4/4 EPISAVEURS;
4cbd1bf3-7ae9-4e8e-b55f-a40441b445cd;POIVRE NOIR MOULU BIO;Poivre noir moulu BIO.
e5073ab3-53f3-4a83-8011-490ded5712df;Maytea aux infusions de thé noir saveur pêche blanche en bouteille 33 cl MAYTEA;"infusion de thé noir 94% (eau, infusion intense de thé noir*), sucre, jus de pêche à base de concentré 1%, arômes naturels de thé, acidifiants: acide malique et acide citrique, arômes naturels, correcteur d'acidité: citrate de sodium, antioxydant: acide ascorbique.
*Vérifié Rainforest Alliance"
1f7caa64-e53f-4365-9c77-1bc904b8cf33;Sauce salsa en bidon 2,23 kg UNCLE BEN'S;tomates (48 %), oignons (18 %), poivrons verts (13 %), purée de tomates (9 %), poivrons rouges (4 %), sucre, vinaigre, sel, amidon de maïs modifié, acidifiant (acide lactique), jus de citron, arôme naturel, piment jalapeno, coriandre, épices (contient piment chili en poudre)
b0ebedbf-5f6e-47c6-ab26-0f5159f85974;1883 ORANGE 100 CL;SUCRE DE CANNE, EAU, JUS D' ORANGE A BASE DE CONCENTRE (7%), ACIDIFIANT : ACIDE CITRIQUE, AROMES NATURELS D'ORANGE, AROME NATUREL, COLORANT : BETA CAROTENE, STABILISANT: E 445.
1d977c42-04b3-40bb-89f9-388e2ca69036;PUR JUS RAISIN 1L;jus de raisin issu de l'agriculture biologique
7ab47d6a-4926-4db7-8d81-12bda14a2170;Agar-agar en pot 270 g SAINTE LUCIE;agar-agar 100%
e25b7d78-136d-4382-a12a-ecc52024c046;Soda cola en bouteille 1,5 L LOIRE COLA;eau gazéifiée, sucre, colorant : caramel E150d, acidifiant : acide orthophosphorique, arôme naturel, caféine.
9a492b00-af1d-4eea-8099-c70fd45b01d5;Sauce tomatée, fumée et pimentée Fire Cracker en flacon souple 875 ml HEINZ;Vinaigre d'alcool, eau, purée de de tomates concentré (17%), sucre, purée de datte, pâte de piment Chipotle (5%, purée de tomates, piments Jalapeno fumé, eau, oignon, vinaigre d'alcool, sucre, poivres, sel, ail, épices, persil, extrait d'épice), amidon modifié, sel, jus de pomme concentré, poudre de Chili, arôme de fumée, épice, poudre d'ail, poudre d'oignon, conservateur (sorbate de potassium), extrait d'épice.
a24f9658-9ae0-4212-8f49-78124a9917c6;Saveurs des potages en bouteille 1 L PATRELLE;Colorant : Caramel de sulfite caustique E150b (contient des sulfites), eau.
e586f0d1-ae43-42ae-94db-b21ac515942e;Mélange du trappeur en pot 70 g TERRE EXOTIQUE;Sucre, poivre noir, coriandre, légumes déshydratés (ail, oignon, poivron rouge), sel de mer, sucre d'érable, arôme d'érable naturel, huile végétale (canola)
f7bfd7cf-7e0d-4855-8ea3-ae1181d290b6;Assortiment de purées et de spécialité de fruits sans sucres ajoutés en coupelles plastique 100 g ANDROS;pommes 79,9%, fraises 20%, jus concentré de carotte, antioxydant : acide ascorbique.
791639c1-bdff-40ea-84fa-8df8085df6fa;HUILE DE COLZA;Huile de colza
d39f16bc-29f8-40b9-9d56-43295bfd5961;FLOWPACK PATAREV HIPPOPOTAMUS;"PÂTE À MÂCHER ACIDE, AROMATISÉE : GOÛT FRAMBOISE COLA.
sirop de glucose ; sucre ; graisse végétale (palme, palmiste) ; acidifiants : acide citrique, acide lactique ; stabilisants : sorbitols, gomme arabique ; malodextrine, colorants : caramel ordinaire, bleu brillant FCF ; arômes ; émulsifiants : E473.
PÂTE À MÂCHER ACIDE, AROMATISÉE : GOÛT FRAISE POMME.
Sirop de glucose ; sucre ; graisse végétale (palme, palmiste) ; acidifiants : E330 et E270 ; stabilisants : E414, E420 ; malodextrine ; arômes ; colorants : E100, E141, E163 ; émulsifiant : E473."
14c9068c-633a-4eea-bb4a-6ac5de0e9a32;Garniture forestière en boîte 4/4 SABAROT;Suillus luteus (40%), Volvariella volvacea (25%), Pleurotus ostreatus (20%), lactarius deliciosus (10%), pholiota mutabilis (5%), eau, sel, acide citrique
8c3941c1-c7c6-45ec-bb7b-020e95ae5e49;Confiture extra de 4 fruits rouges en bocal 750 g BAUDRY;griotte 14%, fraise 14%, framboise 14%, groseille 13%, sucre de canne, sirop de glucose-fructose, gélifiant : pectine de fruits, jus de citron.
8097a8a8-86c0-4f9a-8c75-6d825a979e8c;Sucre cristal en sac 5 kg DADDY;
a4365a0e-00e7-47b9-831a-fce0d38eb107;Thon Albacore entier au naturel en boîte 3/1 POMPON ROUGE;Thon albacore, eau, sel
00a1c69c-b736-410d-b3ce-048c1212af96;"GRANY POMME VERTE 21G X 120		";Céréales 43,4% (flocons d'AVOINE 14,7%, grains de maïs 9,9%, flocons de BLÉ 5,4%, farine de riz 5,2%, flocons de SEIGLE malté 4,8%, farine de BLÉ 3,1%, farine de BLÉ malté 0,3%), sirop de glucose, stabilisant (sirop de sorbitol), pommes vertes déshydratées 12,2% (équivalent pommes vertes 73%), huiles végétales (colza, palme), sucre, sel, arômes, gluten (de BLÉ), dextrose, extrait d'ORGE malté, émulsifiants (E473, lécithine de tournesol), correcteur d'acidité (acide citrique). PEUT CONTENIR LAIT ET FRUITS À COQUE.
9ea66ea7-7791-4c45-b682-0b92dce9de8e;Cornichon malossol en bocal 425 g HUGO REITZEL;Cornichons, eau, vinaigre d'alcool, sucre, sel, graines de moutarde, aneth (0.3%), arômes naturels.
8278ffc7-c82b-44b9-9e4d-9150943faaf1;Croq'Soja à la provençale BIO en boîte 229 g;"Tofu* 76.6% (eau, soja* dépelliculé 20.7%, gélifiants: sulfate de Calcium, Nigari), Oignons* 7.5%, Concentré de tomate* 7.5%, Flocons d'avoine* complète, Sauce de soja* (eau, soja* entier, blé* entier, sel marin, alcool*, ferment), Basilic*, Amidon de blé*, Flocons de millet*, Protéine de soja* texturée, Ail*, Persil*, Sel de mer, Huile de tournesol*, Ciboulette*, Extrait de levure*, Poivre*, Thym*, Origan*.
* Ingrédients issus de l'agriculture biologique"
345591f4-d887-4ddc-bb40-21337fa9269d;Gésiers de dinde émincés en boîte 4/4 METS DES ROIS;Gésier de dinde émincé 50%, graisse de canard 47%, sel, arômes naturels de poivre.
bc581d20-4bcb-476a-bf29-ceaffe2cd916;Soucoupe fourrée poudre acidulée en boîte de 320 PATRELLE;"Sucre, amidon de maïs, dextrose, acidifiant : E334, 
correcteur d'acidité : carbonate acide de sodium, colorants : E100, E132, E162."
0abe8883-1b53-409d-a6cc-f14303763ef8;Eau minérale naturelle gazeuse en bouteille 1,25 L VICHY CELESTINS;Eau Minérale Naturelle, gaz de la source
ca76742c-6f82-44db-b87a-88bee88311bf;Origan en feuille en boîte 125 g LA CASE AUX EPICES;Origan
47c00fcd-b519-4906-9972-73de88b081a2;Huile de colza en bidon 25 l SERIGNAN;
0989658d-b709-413f-be9a-32b528da596d;EAU PLATE NATURELLE EN BOUTEILLE 50 CL WATTWILLER;
cfddd0b5-1105-4b98-b846-0a75da8aa94f;Spécialité pomme-poire BIO en coupelle 95 g ST MAMET;"Pomme* 49,8%, poire* 49,8%, jus d'acérola*.
*Ingrédients issus de l'agriculture biologique."
a1cff8b6-84d5-4176-9c9c-8f0e8e2ec309;Crème dessert chocolat en boîte 5/1 YABON;Lait écrémé 76%, chocolat en poudre 9% (sucre, cacao en poudre), crème fraiche, sucre, poudre de lait, amidon transformé, épaississant : gomme xanthane, correcteur d'acidité : citrate de sodium.
e07e6f9e-088c-4f33-8daf-bf68d6103f8e;CEREALES GOURMANDES ® BIO 4.5 KG;"Semoule de blé dur précuite* (gluten) (44,5%), semoule de blé dur complète précuite* (gluten) (29,5%), flocons de soja* (15%), flocons de céréales* (gluten) (blé* (3%), orge*, avoine* , seigle* (2,2%), riz* (0,7%).
* Ingrédients issus de l'Agriculture Biologique"
95f8a17a-4c2a-47c8-9571-261cc5d01a82;Oignons rissolés en sachet 1 kg CARAVELLE;
